Код;Ссылка;ЭтоГруппа;Родитель
EM09484;Варочная поверхность электрическая 2 конфорочная;Нет;КБТ Варочная поверхность
AM19416;Варочная поверхность электрическая 3+ конфорочная;Нет;КБТ Варочная поверхность
EM05730;КБТ Встраиваемая микроволновая печь;Да;03. КБТ Встраиваемая
AM26864;Встраиваемая микроволновая печь;Нет;КБТ Встраиваемая микроволновая печь
EM05729;КБТ Вытяжка;Да;03. КБТ Встраиваемая
AM19418;Вытяжка встраиваемая;Нет;КБТ Вытяжка
EM09486;Вытяжка каминная;Нет;КБТ Вытяжка
EM09485;Вытяжка подвесная;Нет;КБТ Вытяжка
EM05727;КБТ Духовой шкаф;Да;03. КБТ Встраиваемая
AM26280;Духовой шкаф газовый;Нет;КБТ Духовой шкаф
AM19417;Духовой шкаф электрический;Нет;КБТ Духовой шкаф
EM05726;КБТ Плиты;Да;03. КБТ Встраиваемая
AM20782;Плита газовая;Нет;КБТ Плиты
AM19413;Плита электрическая;Нет;КБТ Плиты
EM05728;КБТ Посудомоечная машина;Да;03. КБТ Встраиваемая
AM20780;Встраиваемая посудомоечная машина;Нет;КБТ Посудомоечная машина
AM19414;Посудомоечная машина;Нет;КБТ Посудомоечная машина
EM06518;КБТ Прочая встраиваемая техника;Да;03. КБТ Встраиваемая
EM06519;Прочая встраиваемая техника;Нет;КБТ Прочая встраиваемая техника
EM05712;04. МБТ Кухня;Да;04. Бытовая техника (ТВ, КБТ, МБТ, Инструменты)
AM19431;МБТ Для жарки и варки;Да;04. МБТ Кухня
AM30160;Блинница;Нет;МБТ Для жарки и варки
AM19438;Вафельница, Гриль, Сэндвичница;Нет;МБТ Для жарки и варки
AM19432;Микроволновая печь;Нет;МБТ Для жарки и варки
AM20753;Мультиварка;Нет;МБТ Для жарки и варки
AM19829;Прочая техника для жарки и варки;Нет;МБТ Для жарки и варки
AM20756;Тостер;Нет;МБТ Для жарки и варки
AM19437;Хлебопечь;Нет;МБТ Для жарки и варки
AM20755;Электрическая плитка;Нет;МБТ Для жарки и варки
AM30172;Электропечь;Нет;МБТ Для жарки и варки
AM19448;МБТ Для нарезки и смешивания;Да;04. МБТ Кухня
AM20759;Блендер Погружной;Нет;МБТ Для нарезки и смешивания
EM09455;Блендер Стационарный;Нет;МБТ Для нарезки и смешивания
AM30175;Кухонный комбайн, Измельчитель;Нет;МБТ Для нарезки и смешивания
AM19450;Миксер ручной;Нет;МБТ Для нарезки и смешивания
AM19452;Мясорубка;Нет;МБТ Для нарезки и смешивания
EM45169;Стационарный миксер, Кухонная машина;Нет;МБТ Для нарезки и смешивания
EM07910;МБТ Для приготовления кофе;Да;04. МБТ Кухня
AM19434;Кофеварка;Нет;МБТ Для приготовления кофе
AM20747;Кофемашина автоматическая;Нет;МБТ Для приготовления кофе
EM03351;Кофемашина капсульная;Нет;МБТ Для приготовления кофе
AM19449;Кофемолка;Нет;МБТ Для приготовления кофе
AM20742;МБТ Для приготовления напитков;Да;04. МБТ Кухня
EM01439;Диспенсер;Нет;МБТ Для приготовления напитков
AM19453;Соковыжималка;Нет;МБТ Для приготовления напитков
AM26921;Термопот;Нет;МБТ Для приготовления напитков
AM19436;Электрочайник;Нет;МБТ Для приготовления напитков
AM20743;МБТ Прочая кухонная техника;Да;04. МБТ Кухня
AM19451;Кухонные весы;Нет;МБТ Прочая кухонная техника
EM45237;Прочая кухонная техника;Нет;МБТ Прочая кухонная техника
AM30166;Сушилка для овощей и фруктов;Нет;МБТ Прочая кухонная техника
AM18161;05. МБТ Дом;Да;04. Бытовая техника (ТВ, КБТ, МБТ, Инструменты)
AM20745;МБТ Для уборки;Да;05. МБТ Дом
AM20760;Пароочиститель, Паровая швабра;Нет;МБТ Для уборки
AM19430;Пылесос;Нет;МБТ Для уборки
EM07228;Пылесос вертикальный;Нет;МБТ Для уборки
AM27460;Пылесосы-роботы;Нет;МБТ Для уборки
AM20744;МБТ Для ухода за одеждой;Да;05. МБТ Дом
AM19426;Отпариватель;Нет;МБТ Для ухода за одеждой
AM30156;Паровая станция;Нет;МБТ Для ухода за одеждой
AM30155;Сушилка для обуви;Нет;МБТ Для ухода за одеждой
AM19429;Утюг;Нет;МБТ Для ухода за одеждой
AM19428;Швейная машина;Нет;МБТ Для ухода за одеждой
EM07247;МБТ Зимний климат;Да;05. МБТ Дом
AM23625;Инфракрасный обогреватель;Нет;МБТ Зимний климат
AM20765;Конвектор;Нет;МБТ Зимний климат
AM19421;Маслонаполненный радиатор;Нет;МБТ Зимний климат
AM22937;Мягкое тепло;Нет;МБТ Зимний климат
AM20767;Тепловентилятор;Нет;МБТ Зимний климат
AM20749;МБТ Климат;Да;05. МБТ Дом
AM30928;Климатический комплекс;Нет;МБТ Климат
EM03360;Мойка воздуха;Нет;МБТ Климат
AM20768;Очиститель воздуха;Нет;МБТ Климат
AM19424;Увлажнитель воздуха;Нет;МБТ Климат
EM07248;МБТ Летний климат;Да;05. МБТ Дом
AM19552;Вентилятор бытовой;Нет;МБТ Летний климат
AM19420;Кондиционер;Нет;МБТ Летний климат
AM24442;Осушитель воздуха;Нет;МБТ Летний климат
AM19425;МБТ Прочая техника для дома;Да;05. МБТ Дом
AM21695;Прочая техника для дома;Нет;МБТ Прочая техника для дома
EM58757;Товары для ванной;Нет;МБТ Прочая техника для дома
AM24844;Умный дом;Нет;МБТ Прочая техника для дома
EM05720;06. МБТ Красота;Да;04. Бытовая техника (ТВ, КБТ, МБТ, Инструменты)
AM19439;МБТ Для красоты и здоровья;Да;06. МБТ Красота
AM19446;Весы напольные;Нет;МБТ Для красоты и здоровья
AM30164;Косметический прибор;Нет;МБТ Для красоты и здоровья
AM19441;Массажер;Нет;МБТ Для красоты и здоровья
AM30165;Массажная ванночка;Нет;МБТ Для красоты и здоровья
AM21684;Материнство и детство;Нет;МБТ Для красоты и здоровья
AM19444;Приборы для маникюра и педикюра;Нет;МБТ Для красоты и здоровья
AM19447;Радио и видеоняни;Нет;МБТ Для красоты и здоровья
AM22096;Тонометр, Термометр, Ингалятор;Нет;МБТ Для красоты и здоровья
AM19445;Электрическая зубная щетка;Нет;МБТ Для красоты и здоровья
AM20757;Электробритва;Нет;МБТ Для красоты и здоровья
AM20758;Эпилятор;Нет;МБТ Для красоты и здоровья
AM20746;МБТ Для ухода за волосами;Да;06. МБТ Красота
AM20761;Выпрямитель для волос;Нет;МБТ Для ухода за волосами
AM19443;Машинка для стрижки;Нет;МБТ Для ухода за волосами
AM30163;Стайлер;Нет;МБТ Для ухода за волосами
AM30162;Триммер;Нет;МБТ Для ухода за волосами
AM19440;Фен;Нет;МБТ Для ухода за волосами
AM30161;Фен-щетка;Нет;МБТ Для ухода за волосами
AM20762;Электрощипцы;Нет;МБТ Для ухода за волосами
AM24115;07. Инструмент;Да;04. Бытовая техника (ТВ, КБТ, МБТ, Инструменты)
AM24380;01. Электроинструмент;Да;07. Инструмент
AM24356;Аккумуляторная отвертка;Нет;01. Электроинструмент
EM45046;Алмазная дрель;Нет;01. Электроинструмент
EM45071;Вибрационная шлифмашина;Нет;01. Электроинструмент
AM26785;Гайковерт;Нет;01. Электроинструмент
AM26787;Гравировальные машинки;Нет;01. Электроинструмент
AM24122;Дисковая пила;Нет;01. Электроинструмент
AM24119;Дрель;Нет;01. Электроинструмент
EM04206;Дрель-миксер;Нет;01. Электроинструмент
AM26788;Клеевой пистолет;Нет;01. Электроинструмент
AM26829;Краскораспылитель электрический;Нет;01. Электроинструмент
EM45075;Ленточная шлифмашина;Нет;01. Электроинструмент
EM10847;Ленточнопильный станок;Нет;01. Электроинструмент
AM24123;Лобзик;Нет;01. Электроинструмент
EM63761;Лобзик стационарный;Нет;01. Электроинструмент
EM09661;Набор электроинструмента;Нет;01. Электроинструмент
EM10846;Настольная дисковая пила;Нет;01. Электроинструмент
EM10800;Ножницы электрические;Нет;01. Электроинструмент
AM26791;Отбойный молоток;Нет;01. Электроинструмент
EM04570;Отрезная пила;Нет;01. Электроинструмент
EM45049;Паяльная станция;Нет;01. Электроинструмент
AM26792;Паяльник электрический;Нет;01. Электроинструмент
AM24120;Перфоратор;Нет;01. Электроинструмент
EM10873;Пистолет для герметика;Нет;01. Электроинструмент
EM10930;Плиткорез;Нет;01. Электроинструмент
EM45074;Полировальная машина;Нет;01. Электроинструмент
EM45079;Прочие шлифовальные машины;Нет;01. Электроинструмент
EM45078;Прямошлифовальная машина;Нет;01. Электроинструмент
EM10844;Рейсмусовый станок;Нет;01. Электроинструмент
AM24369;Реноватор;Нет;01. Электроинструмент
AM26794;Рубанок электрический;Нет;01. Электроинструмент
AM26790;Сабельная пила;Нет;01. Электроинструмент
EM11015;Сверлильный станок;Нет;01. Электроинструмент
EM63760;Станок токарный;Нет;01. Электроинструмент
AM24366;Степлер электрический;Нет;01. Электроинструмент
AM24371;Строительный пылесос;Нет;01. Электроинструмент
AM24370;Строительный фен;Нет;01. Электроинструмент
AM26793;Торцовочная пила;Нет;01. Электроинструмент
AM26795;Точило;Нет;01. Электроинструмент
AM24121;Углошлифмашина;Нет;01. Электроинструмент
AM24365;Фрезер;Нет;01. Электроинструмент
AM26796;Штроборез;Нет;01. Электроинструмент
AM24118;Шуруповерт;Нет;01. Электроинструмент
AM24368;Эксцентриковая шлифмашина;Нет;01. Электроинструмент
EM04699;02. Ручной инструмент;Да;07. Инструмент
EM11024;Верстак;Нет;02. Ручной инструмент
EM56269;Газовая горелка;Нет;02. Ручной инструмент
EM45122;Губка шлифовальная;Нет;02. Ручной инструмент
AM26782;Изолента;Нет;02. Ручной инструмент
AM26783;Клей;Нет;02. Ручной инструмент
EM45084;Ключи;Нет;02. Ручной инструмент
EM01614;Мультитул;Нет;02. Ручной инструмент
AM27462;Набор инструментов для точных работ;Нет;02. Ручной инструмент
AM26821;Набор ручного инструмента;Нет;02. Ручной инструмент
EM45088;Отвёртки;Нет;02. Ручной инструмент
EM10638;Степлер механический;Нет;02. Ручной инструмент
EM01179;Топор;Нет;02. Ручной инструмент
AM26822;Торцевые головки;Нет;02. Ручной инструмент
EM45086;Шарнирно-губцевый инструмент;Нет;02. Ручной инструмент
AM26823;03. Пневматическое оборудование;Да;07. Инструмент
AM26824;Компрессоры;Нет;03. Пневматическое оборудование
EM45056;Краскораспылитель пневматический;Нет;03. Пневматическое оборудование
AM26825;Набор пневматического инструмента;Нет;03. Пневматическое оборудование
EM45066;Нейлер;Нет;03. Пневматическое оборудование
EM45053;Пневмогайковёрт;Нет;03. Пневматическое оборудование
EM45051;Пневмодрель;Нет;03. Пневматическое оборудование
EM45060;Пневмопистолет;Нет;03. Пневматическое оборудование
EM45055;Пневмотрещотка;Нет;03. Пневматическое оборудование
EM45059;Пневмошлифмашина;Нет;03. Пневматическое оборудование
EM45070;Прочий пневмоинструмент;Нет;03. Пневматическое оборудование
EM10205;04. Спецодежда и СИЗ;Да;07. Инструмент
EM63881;Жилет для инструмента;Нет;04. Спецодежда и СИЗ
EM45120;Каска;Нет;04. Спецодежда и СИЗ
EM67440;Кобура для шуруповерта;Нет;04. Спецодежда и СИЗ
AM26831;Маска сварочная;Нет;04. Спецодежда и СИЗ
EM67441;Наколенники;Нет;04. Спецодежда и СИЗ
EM45115;Наушники защитные;Нет;04. Спецодежда и СИЗ
EM03689;Очки защитные;Нет;04. Спецодежда и СИЗ
EM45094;Очки лазерные;Нет;04. Спецодежда и СИЗ
EM45114;Перчатки защитные;Нет;04. Спецодежда и СИЗ
EM45117;Перчатки сварщика (краги);Нет;04. Спецодежда и СИЗ
EM68366;Пояс страховочный;Нет;04. Спецодежда и СИЗ
EM45116;Респиратор;Нет;04. Спецодежда и СИЗ
EM45119;Штаны для защиты от порезов цепной пилой;Нет;04. Спецодежда и СИЗ
EM45118;Щиток лицевой;Нет;04. Спецодежда и СИЗ
AM24381;05. Аксессуары для электро и пневмо инструмента;Да;07. Инструмент
EM10835;Адаптер для коронок;Нет;05. Аксессуары для электро и пневмо инструмента
EM10866;Адаптер/переходник для перфораторов;Нет;05. Аксессуары для электро и пневмо инструмента
AM26833;Аккумуляторное оборудование для электроинструмента;Нет;05. Аксессуары для электро и пневмо инструмента
AM28706;Аксессуары для аппаратов высокого давления;Нет;05. Аксессуары для электро и пневмо инструмента
EM10855;Аксессуары для дисковых пил;Нет;05. Аксессуары для электро и пневмо инструмента
EM10864;Аксессуары для дрели алмазного сверления;Нет;05. Аксессуары для электро и пневмо инструмента
EM10853;Аксессуары для лобзиков;Нет;05. Аксессуары для электро и пневмо инструмента
EM10248;Аксессуары для паяльного оборудования;Нет;05. Аксессуары для электро и пневмо инструмента
EM11018;Аксессуары для пневматического оборудования;Нет;05. Аксессуары для электро и пневмо инструмента
EM10851;Аксессуары для рубанков;Нет;05. Аксессуары для электро и пневмо инструмента
EM10546;Аксессуары для строительных пылесосов;Нет;05. Аксессуары для электро и пневмо инструмента
EM10849;Аксессуары для торцовочных пил;Нет;05. Аксессуары для электро и пневмо инструмента
EM10818;Аксессуары для углошлифмашин;Нет;05. Аксессуары для электро и пневмо инструмента
EM10798;Аксессуары для фрезеров;Нет;05. Аксессуары для электро и пневмо инструмента
EM04706;Аксессуары для шуруповертов;Нет;05. Аксессуары для электро и пневмо инструмента
EM45092;Кейс для электроинструмента;Нет;05. Аксессуары для электро и пневмо инструмента
EM10895;Насадка для пылеудаления;Нет;05. Аксессуары для электро и пневмо инструмента
EM10830;Насадка для строительного фена;Нет;05. Аксессуары для электро и пневмо инструмента
EM10804;Патрон;Нет;05. Аксессуары для электро и пневмо инструмента
EM04604;Системы хранения инструмента;Нет;05. Аксессуары для электро и пневмо инструмента
EM10826;Строительное радио;Нет;05. Аксессуары для электро и пневмо инструмента
EM10823;Фонарь строительный;Нет;05. Аксессуары для электро и пневмо инструмента
EM10287;Шланг для аппарата высокого давления;Нет;05. Аксессуары для электро и пневмо инструмента
EM10250;Шланг для пневматического оборудования;Нет;05. Аксессуары для электро и пневмо инструмента
EM05755;06. Расходные материалы для электро и пневмо инструмента;Да;07. Инструмент
EM10206;Биты;Нет;06. Расходные материалы для электро и пневмо инструмента
EM10207;Бур для перфоратора;Нет;06. Расходные материалы для электро и пневмо инструмента
EM10229;Гвозди для степлера;Нет;06. Расходные материалы для электро и пневмо инструмента
EM10208;Диск для УШМ;Нет;06. Расходные материалы для электро и пневмо инструмента
EM67438;Диск лепестковый для Дрели;Нет;06. Расходные материалы для электро и пневмо инструмента
EM10209;Диск пильный;Нет;06. Расходные материалы для электро и пневмо инструмента
EM10827;Диск полировальный;Нет;06. Расходные материалы для электро и пневмо инструмента
EM10894;Долото для отбойного молотка;Нет;06. Расходные материалы для электро и пневмо инструмента
EM10791;Долото/зубило для перфоратора;Нет;06. Расходные материалы для электро и пневмо инструмента
EM10639;Жало паяльное;Нет;06. Расходные материалы для электро и пневмо инструмента
EM10803;Зенкер;Нет;06. Расходные материалы для электро и пневмо инструмента
EM10210;Клеевые стержни;Нет;06. Расходные материалы для электро и пневмо инструмента
EM10834;Коронка для перфоратора;Нет;06. Расходные материалы для электро и пневмо инструмента
EM10211;Коронки для дрели;Нет;06. Расходные материалы для электро и пневмо инструмента
EM45098;Ленты для ленточных шлифмашин;Нет;06. Расходные материалы для электро и пневмо инструмента
EM45101;Листы для виброшлифмашин;Нет;06. Расходные материалы для электро и пневмо инструмента
EM10233;Листы для эксцентриковых шлифмашин;Нет;06. Расходные материалы для электро и пневмо инструмента
EM03680;Масло для 2-х тактных двигателей;Нет;06. Расходные материалы для электро и пневмо инструмента
EM10235;Масло для 4-х тактных двигателей;Нет;06. Расходные материалы для электро и пневмо инструмента
EM10236;Масло для компрессоров;Нет;06. Расходные материалы для электро и пневмо инструмента
EM10237;Масло для пневмоинструмента;Нет;06. Расходные материалы для электро и пневмо инструмента
EM10238;Масло для смазки цепи;Нет;06. Расходные материалы для электро и пневмо инструмента
EM10867;Мешалка для дрель-миксера;Нет;06. Расходные материалы для электро и пневмо инструмента
EM10817;Насадка для прямошлифовальных машин;Нет;06. Расходные материалы для электро и пневмо инструмента
EM10213;Насадки для гравировальных машин;Нет;06. Расходные материалы для электро и пневмо инструмента
EM10214;Насадки для реноваторов;Нет;06. Расходные материалы для электро и пневмо инструмента
EM45007;Насадки для сверлильных станков;Нет;06. Расходные материалы для электро и пневмо инструмента
EM10796;Нож для рубанка;Нет;06. Расходные материалы для электро и пневмо инструмента
EM10886;Опорная тарелка;Нет;06. Расходные материалы для электро и пневмо инструмента
EM10225;Паяльная химия;Нет;06. Расходные материалы для электро и пневмо инструмента
EM10221;Пилки для электролобзика;Нет;06. Расходные материалы для электро и пневмо инструмента
EM10822;Пластина для шлифмашин;Нет;06. Расходные материалы для электро и пневмо инструмента
EM10809;Подошва для шлифмашин;Нет;06. Расходные материалы для электро и пневмо инструмента
EM10861;Полотно для ленточнопильного станка;Нет;06. Расходные материалы для электро и пневмо инструмента
EM10223;Полотно для сабельной пилы;Нет;06. Расходные материалы для электро и пневмо инструмента
EM10224;Припой для пайки;Нет;06. Расходные материалы для электро и пневмо инструмента
EM10881;Пылесборник для электроинструмента;Нет;06. Расходные материалы для электро и пневмо инструмента
EM45102;Расходка для прочих шлифовальных машин;Нет;06. Расходные материалы для электро и пневмо инструмента
EM10887;Расходник для ножниц по металлу;Нет;06. Расходные материалы для электро и пневмо инструмента
EM10839;Ремень приводной (для шлифмашин);Нет;06. Расходные материалы для электро и пневмо инструмента
EM10831;Ремкомплект для перфоратора;Нет;06. Расходные материалы для электро и пневмо инструмента
EM10234;Сверла;Нет;06. Расходные материалы для электро и пневмо инструмента
EM10806;Свеча зажигания для бензоинструмента;Нет;06. Расходные материалы для электро и пневмо инструмента
EM10228;Скобы для степлера;Нет;06. Расходные материалы для электро и пневмо инструмента
EM10815;Смазка для буров;Нет;06. Расходные материалы для электро и пневмо инструмента
EM10645;Средства очистки при работе с паяльным оборудованием;Нет;06. Расходные материалы для электро и пневмо инструмента
EM10642;Стеклотекстолит;Нет;06. Расходные материалы для электро и пневмо инструмента
EM45106;Точильный круг;Нет;06. Расходные материалы для электро и пневмо инструмента
EM10245;Универсальный набор оснастки;Нет;06. Расходные материалы для электро и пневмо инструмента
EM10247;Фреза;Нет;06. Расходные материалы для электро и пневмо инструмента
EM10785;Шурупная лента;Нет;06. Расходные материалы для электро и пневмо инструмента
EM10794;Щетка графитовая для электроинструмента;Нет;06. Расходные материалы для электро и пневмо инструмента
EM10813;Щетка для дрели;Нет;06. Расходные материалы для электро и пневмо инструмента
EM45156;07. Строительный крепёж;Да;07. Инструмент
EM65574;Анкеры;Нет;07. Строительный крепёж
EM65575;Болты;Нет;07. Строительный крепёж
EM65576;Винты;Нет;07. Строительный крепёж
EM65577;Гайки;Нет;07. Строительный крепёж
EM65580;Гвозди;Нет;07. Строительный крепёж
EM65573;Дюбели;Нет;07. Строительный крепёж
EM65585;Заклепки;Нет;07. Строительный крепёж
EM65581;Кляймеры;Нет;07. Строительный крепёж
EM65583;Крепежные углы;Нет;07. Строительный крепёж
EM65571;Саморезы;Нет;07. Строительный крепёж
EM65579;Скобы;Нет;07. Строительный крепёж
EM65584;Соединительные пластины;Нет;07. Строительный крепёж
EM65582;Хомуты;Нет;07. Строительный крепёж
EM65578;Шайбы;Нет;07. Строительный крепёж
EM65586;Шпильки;Нет;07. Строительный крепёж
EM65572;Шурупы;Нет;07. Строительный крепёж
EM45157;08. Строительное оборудование;Да;07. Инструмент
EM10871;Бензорез;Нет;08. Строительное оборудование
EM45228;Бетоносмеситель;Нет;08. Строительное оборудование
EM10857;Вибратор для бетона;Нет;08. Строительное оборудование
EM70189;Виброплита;Нет;08. Строительное оборудование
EM11022;Резчик электрический;Нет;08. Строительное оборудование
EM01181;Стремянка;Нет;08. Строительное оборудование
AM26852;09. Тепловые пушки;Да;07. Инструмент
AM30153;Тепловая завеса;Нет;09. Тепловые пушки
AM26853;Тепловые пушки газовые;Нет;09. Тепловые пушки
AM26854;Тепловые пушки дизельные;Нет;09. Тепловые пушки
AM26855;Тепловые пушки электрические;Нет;09. Тепловые пушки
AM26830;10. Силовое оборудование;Да;07. Инструмент
EM10929;Аппарат для сварки пластиковых труб;Нет;10. Силовое оборудование
AM24360;Сварочный аппарат;Нет;10. Силовое оборудование
AM26832;Электрогенератор;Нет;10. Силовое оборудование
AM26799;11. Измерительный инструмент;Да;07. Инструмент
EM09558;pH-метр;Нет;11. Измерительный инструмент
AM26800;Анемометр;Нет;11. Измерительный инструмент
AM26818;Видеоскоп;Нет;11. Измерительный инструмент
EM10299;Газоанализатор;Нет;11. Измерительный инструмент
AM26801;Детектор проводки;Нет;11. Измерительный инструмент
EM10300;Измерители параметров окружающей среды;Нет;11. Измерительный инструмент
EM10301;Измерители параметров электропитания;Нет;11. Измерительный инструмент
AM26802;Измеритель уровня влажности (влагомер, гигрометр);Нет;11. Измерительный инструмент
EM10307;Измеритель уровня электромагнитного фона;Нет;11. Измерительный инструмент
EM10302;Индикатор чередования фаз;Нет;11. Измерительный инструмент
AM26805;Лазерный дальномер;Нет;11. Измерительный инструмент
AM26806;Лазерный нивелир;Нет;11. Измерительный инструмент
EM10303;Люксметр;Нет;11. Измерительный инструмент
EM10304;Манометр;Нет;11. Измерительный инструмент
EM09657;Металлоискатель;Нет;11. Измерительный инструмент
EM63873;Микрометр;Нет;11. Измерительный инструмент
AM29584;Мультиметр;Нет;11. Измерительный инструмент
EM10305;Омметр;Нет;11. Измерительный инструмент
AM24357;Оптический нивелир;Нет;11. Измерительный инструмент
AM26809;Пирометр;Нет;11. Измерительный инструмент
EM11020;Пробник напряжения;Нет;11. Измерительный инструмент
EM65649;Рулетка;Нет;11. Измерительный инструмент
AM26812;Склерометр;Нет;11. Измерительный инструмент
EM10306;Тахометр;Нет;11. Измерительный инструмент
EM05137;Тепловизор;Нет;11. Измерительный инструмент
AM26814;Толщиномер;Нет;11. Измерительный инструмент
AM26815;Углоизмерительный прибор;Нет;11. Измерительный инструмент
AM26803;Шумомер;Нет;11. Измерительный инструмент
AM26846;12. Садовая техника;Да;07. Инструмент
AM24117;Аппарат высокого давления;Нет;12. Садовая техника
EM10860;Аэратор;Нет;12. Садовая техника
EM08610;Воздуходувка (садовый пылесос);Нет;12. Садовая техника
EM63698;Высоторез;Нет;12. Садовая техника
AM26847;Газонокосилка;Нет;12. Садовая техника
EM56234;Гидроаккумулятор;Нет;12. Садовая техника
EM51496;Дровокол;Нет;12. Садовая техника
EM01984;Измельчитель садовый;Нет;12. Садовая техника
EM06659;Культиватор;Нет;12. Садовая техника
EM05079;Кусторез;Нет;12. Садовая техника
EM45229;Мотоблок;Нет;12. Садовая техника
AM24367;Мотобур;Нет;12. Садовая техника
EM10723;Мотопомпа;Нет;12. Садовая техника
EM65652;Насос вибрационный;Нет;12. Садовая техника
AM26848;Насос дренажный;Нет;12. Садовая техника
EM65651;Насос поверхностный;Нет;12. Садовая техника
EM65653;Насос скважинный;Нет;12. Садовая техника
EM65654;Насосная станция;Нет;12. Садовая техника
EM51499;Опрыскиватель;Нет;12. Садовая техника
AM31546;Снегоуборщик;Нет;12. Садовая техника
AM26849;Триммер садовый;Нет;12. Садовая техника
AM26850;Цепная пила бензиновая;Нет;12. Садовая техника
AM26851;Цепная пила электрическая;Нет;12. Садовая техника
EM45158;13. Аксессуары для инструмента;Да;07. Инструмент
EM45095;Адаптер/крепление для измерительного инструмента;Нет;13. Аксессуары для инструмента
EM63697;Аккумуляторное оборудование для садовой техники;Нет;13. Аксессуары для инструмента
EM10870;Аксессуары для бензорезов;Нет;13. Аксессуары для инструмента
EM10883;Аксессуары для газонокосилок;Нет;13. Аксессуары для инструмента
EM10311;Аксессуары для газонокосилок-роботов;Нет;13. Аксессуары для инструмента
EM56230;Аксессуары для генераторов;Нет;13. Аксессуары для инструмента
EM10840;Аксессуары для садовых триммеров;Нет;13. Аксессуары для инструмента
EM10227;Аксессуары для сварочного оборудования;Нет;13. Аксессуары для инструмента
EM10891;Аксессуары для цепных пил;Нет;13. Аксессуары для инструмента
EM10890;Канистра;Нет;13. Аксессуары для инструмента
EM45097;Отражательные поверхности для измерительного инструмента;Нет;13. Аксессуары для инструмента
EM45093;Рейка нивелирная;Нет;13. Аксессуары для инструмента
AM26331;Штатив для измерительного инструмента;Нет;13. Аксессуары для инструмента
EM45159;14. Расходные материалы для инструмента;Да;07. Инструмент
EM56276;Газовый баллон;Нет;14. Расходные материалы для инструмента
EM10217;Головка для триммера садового;Нет;14. Расходные материалы для инструмента
EM01332;Диск для триммера садового;Нет;14. Расходные материалы для инструмента
EM10252;Леска для триммеров;Нет;14. Расходные материалы для инструмента
EM10230;Напильник для цепной пилы;Нет;14. Расходные материалы для инструмента
EM10216;Нож для газонокосилки;Нет;14. Расходные материалы для инструмента
EM10220;Нож для триммера садового;Нет;14. Расходные материалы для инструмента
EM11017;Проволока сварочная;Нет;14. Расходные материалы для инструмента
